SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	lowb	B9	1/4
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	lowb	B10	0/2
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	highb	B6	5/8
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	highb	B9	2/5
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	highb	B12	1/4
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	highb	B13	0/2
SIM com.jasml.compiler.SourceCodeParser	private void updateLabelLinks(Hashtable#RAW, ArrayList#RAW) throws com.jasml.compiler.GrammerException	counter	B3	6/22
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	total	B6	11/16
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	total	B9	8/13
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	total	B10	6/11
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	total	B12	4/9
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	total	B13	2/7
SIM com.jasml.decompiler.JavaClassParser	private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) 	total	B15	0/5
NÃO com.jasml.compiler.SourceCodeParser	private void parseMethodAttributes(com.jasml.classes.Method, ArrayList#RAW, com.jasml.compiler.SourceCodeParser.LabeledInstructions, com.jasml.classes.Attribute_Code, ArrayList#RAW) throws com.jasml.compiler.GrammerException, com.jasml.compiler.ParsingException	code	B5	6/16
SIM com.jasml.compiler.JavaClassDumpper	private void dumpAttribute(com.jasml.classes.Attribute) throws java.io.IOException	operands	B6	1/2
SIM com.jasml.decompiler.SourceCodeBuilder	private java.lang.String toString(com.jasml.classes.Attribute_Code, HashSet#RAW) 	operands	B7	1/2
SIM com.jasml.decompiler.SourceCodeBuilder	private java.lang.String toString(com.jasml.classes.Attribute_Code, HashSet#RAW) 	soffset	B7	1/2
SIM com.jasml.helper.OpcodeLoader	public static void main(java.lang.String[]) throws java.lang.Exception	op	B3	1/2
SIM com.jasml.helper.OpcodeLoader	public void processOpcode(org.w3c.dom.Node) 	nodeName	B3	1/2
NÃO com.jasml.helper.Util	public static void main(java.lang.String[]) 	i	B2	2/4
NÃO com.jasml.helper.Util	public static java.lang.String parseViewableString(java.lang.String) 	ti	B4	15/24
NÃO com.jasml.helper.Util	public static java.lang.String parseViewableString(java.lang.String) 	ti	B5	13/22
